"a","S1|W1|x123"
"abandon","W3|x456|AWL"
"abbreviate","x789"
"abbreviation","x456"
"abdomen","x789"
"ability","S2|W1|x123"
"able","S1|W1|x123"
"abnormal","x789|AWL"
"abnormality","x789"
"aboard","x789"
"aboard","x789"
"abolish","x456"
"abortion","x789"
"about","S1|W1|x123"
"about","S1|W1|x123"
"about","S3|W2|x123"
"above","S2|W1|x123"
"above","W3|x456"
"abroad","S2|W3|x123"
"abrupt","x789"
"abruptly","x789"
"absence","S3|W2|x123"
"absent","W2|x123"
"absolute","S3|x456"
"absolutely","S1|W3|x123"
"absorb","W3|x456"
"abstain","x789"
"abstract","x456|AWL"
"abstract","x789|AWL"
"absurd","x456"
"abundance","x789"
"abundant","x789"
"abuse","S3|W3|x456"
"abuse","x456"
"academic","W2|x456|AWL"
"academic","x789|AWL"
"accelerate","x789"
"acceleration","x789"
"accent","x456"
"accept","S1|W1|x123"
"acceptable","S3|W3|x456"
"acceptance","x789"
"accepted","x789"
"access","S2|W1|x123|AWL"
"access","x456|AWL"
"accessible","x789|AWL"
"accessory","x789"
"accident","S2|W2|x123"
"accidental","x456"
"accidentally","x789"
"accommodate","x789|AWL"
"accommodation","W2|x456|AWL"
"accompany","W2|x456|AWL"
"accomplish","x789"
"accomplishment","x789"
"accord","x789"
"accordance","x789"
"accordingly","x789"
"according to","S2|W1|x123"
"account","S1|W1|x123"
"account","S3|W3|x456"
"accountable","x789"
"accountant","x456"
"accounting","x456"
"accumulate","x789|AWL"
"accuracy","x456|AWL"
"accurate","S2|W3|x123|AWL"
"accusation","x789"
"accuse","W3|x456"
"accustom","x789"
"ache","x789"
"ache","x789"
"achieve","S2|W1|x123|AWL"
"achievement","S3|W2|x123|AWL"
"acid","W3|x456"
"acknowledge","S3|W3|x456|AWL"
"acknowledgement","x789|AWL"
"acoustic","x789"
"acquaintance","x789"
"acquainted","x789"
"acquire","W2|x456|AWL"
"acre","x456"
"acrimonious","x789"
"across","S1|W1|x123"
"act","S1|W1|x123"
"act","S2|W1|x123"
"action","S1|W1|x123"
"active","S2|W2|x123"
"actively","x456"
"activist","x789"
"activity","S2|W1|x123"
"actor","W3|x123"
"actress","W3|x123"
"actual","S1|W2|x123"
"actually","S1|W1|x123"
"acute","x789"
"acutely","x789"
"ad","S3|W3|x123"
"AD","x456"
"adapt","W3|x456"
"add","S1|W1|x123"
"added","x789"
"addict","x456"
"addicted","x456"
"addiction","x456"
"addictive","x789"
"addition","S3|W1|x123"
"additional","W2|x456"
"additionally","x789"
"address","S2|W2|x123"
"address","x789"
"adequate","S3|W3|x456|AWL"
"adequately","x456|AWL"
"adhere","x789"
"adjacent","x789|AWL"
"adjective","x123"
"adjourn","x789"
"adjust","W3|x456|AWL"
"adjustment","x456|AWL"
"administer","x789"
"administration","S3|W3|x456|AWL"
"administrative","W3|x456|AWL"
"administrator","x456"
"admirable","x789"
"admiration","x456"
"admire","S3|x123"
"admirer","x789"
"admission","W3|x456"
"admit","S2|W1|x123"
"admittedly","x789"
"adolescence","x789"
"adolescent","x789"
"adopt","S3|W2|x456"
"adore","x789"
"adult","S2|W2|x123|AWL"
"adult","W3|x123|AWL"
"advance","W3|x456"
"advance","W3|x456"
"advanced","W3|x123"
"advantage","S2|W1|x123"
"advantageous","x789"
"advent","x789"
"adventure","W2|x123"
"adventurous","x789"
"adverb","x123"
"adversary","x789"
"adverse","x789"
"advert","S3|x456"
"advertise","S3|W3|x456"
"advertisement","S3|x123"
"advertising","W3|x456"
"advice","S2|W2|x123"
"advise","S2|W2|x123"
"adviser","S3|W3|x456"
"advisory","x789"
"advocate","x456|AWL"
"advocate","x456|AWL"
"aerial","x789"
"aesthetic","x789"
"affair","S2|W1|x123"
"affect","S2|W1|x123|AWL"
"affection","x456"
"affectionate","x789"
"affinity","x789"
"affirm","x789"
"afflict","x789"
"affluent","x789"
"afford","S1|W3|x123"
"affordable","x789"
"afraid","S1|W2|x123"
"after","S1|W1|x123"
"after-effect","x789"
"aftermath","x789"
"afternoon","S1|W2|x123"
"afterwards","S2|W3|x123"
"again","S1|W1|x123"
"against","S1|W1|x123"
"age","S1|W1|x123"
"age","x456"
"aged","W3|x456"
"agency","W3|x456"
"agenda","x456"
"agent","S3|W3|x456"
"aggravate","x789"
"aggression","x789"
"aggressive","S3|W3|x456"
"agile","x789"
"ago","S1|W1|x123"
"agony","x789"
"agree","S1|W1|x123"
"agreed","x456"
"agreement","S2|W1|x123"
"agriculture","W2|x456"
"ahead","S1|W2|x123"
"aid","W3|x456|AWL"
"aid","x456|AWL"
"aide","x789"
"ailment","x789"
"aim","S2|W2|x123"
"aim","S2|W2|x123"
"air","S1|W1|x123"
"air","x789"
"aircraft","S2|W2|x123"
"air force","x456"
"airline","S3|W3|x456"
"airport","S3|W3|x123"
"aisle","x789"
"ajar","x789"
"alarm","S2|x123"
"alarm","x456"
"alarmed","x456"
"alarming","x456"
"albeit","x789|AWL"
"album","S3|W3|x456"
"alcohol","S2|W2|x123"
"alcoholic","x456"
"alcoholic","x789"
"alert","x456"
"alert","x456"
"alibi","x789"
"alien","x456"
"alien","x789"
"alienate","x789"
"alight","x789"
"align","x789"
"alignment","x789"
"alike","x456"
"alike","x456"
"alive","S2|W3|x123"
"all","S1|W1|x123"
"all","S1|W1|x123"
"allegation","x456"
"allege","x456"
"allegedly","x789"
"allegiance","x789"
"allergic","x789"
"allergy","x789"
"alleviate","x789"
"alley","x456"
"alliance","x789"
"allied","x789"
"allocate","x789|AWL"
"allocation","x789|AWL"
"allow","S1|W1|x123"
"allowance","x456"
"all right","S1|W2|x123"
"allude","x789"
"ally","x789"
"almighty","x789"
"almost","S1|W1|x123"
"alone","S2|W1|x123"
"along","S1|W1|x123"
"along","S1|W1|x123"
"alongside","W3|x456"
"aloud","S3|W2|x123"
"alphabet","W3|x123"
"alphabetical","W3|x123"
"already","S1|W1|x123"
"also","S1|W1|x123"
"altar","x789"
"alter","S3|W3|x123|AWL"
"alteration","x456|AWL"
"alternate","x789|AWL"
"alternate","x789|AWL"
"alternative","S3|W2|x456|AWL"
"alternative","S3|W3|x456|AWL"
"alternatively","x789|AWL"
"although","S1|W1|x123"
"altitude","x789"
"altogether","S2|W3|x123"
"aluminium","x456"
"always","S1|W1|x123"
"a.m.","W2|x123"
"amateur","x789"
"amateur","x789"
"amaze","x456"
"amazed","S2|x123"
"amazement","x456"
"amazing","S2|x123"
"ambassador","x456"
"ambiguity","x789|AWL"
"ambiguous","x456|AWL"
"ambition","W3|x456"
"ambitious","x456"
"ambulance","S3|x456"
"ambush","x789"
"amend","x789|AWL"
"amendment","x789|AWL"
"amenity","x789"
"amicable","x789"
"amid","x789"
"ammunition","x789"
"amnesty","x789"
"among","S2|W1|x123"
"amount","S1|W1|x123"
"amount","x789"
"ample","x789"
"amuse","x456"
"amused","x456"
"amusement","x456"
"amusing","x456"
"an","S1|W1|x123"
"anaesthetic","x789"
"anagram","x789"
"analogous","x789|AWL"
"analogy","x789|AWL"
"analyse","W3|x456|AWL"
"analysis","S3|W3|x456|AWL"
"analyst","W3|x456|AWL"
"analytical","x789|AWL"
"anarchy","x789"
"anatomy","x789"
"ancestor","x456"
"ancient","W2|x123"
"and","S1|W1|x123"
"anecdote","x789"
"angel","x456"
"anger","W3|x456"
"anger","x456"
"angle","S3|W3|x123"
"angry","S2|W2|x123"
"anguish","x789"
"animal","S1|W1|x123"
"animosity","x789"
"ankle","x456"
"anniversary","x456"
"announce","S2|W1|x123"
"announcement","S3|W3|x123"
"annoy","S3|x456"
"annoyed","S2|x123"
"annoying","S2|x123"
"annual","W2|x456|AWL"
"annually","x456"
"anomaly","x789"
"anonymous","x789"
"another","S1|W1|x123"
"answer","S1|W1|x123"
"answer","S1|W2|x123"
"ant","x456"
"anthem","x789"
"anthology","x789"
"antibiotic","x789"
"anticipate","S3|W3|x456|AWL"
"anticipation","x789|AWL"
"antidote","x789"
"antique","x789"
"antique","x789"
"antonym","x789"
"anxiety","S3|W3|x456"
"anxious","S3|W3|x456"
"any","S1|W1|x123"
"any","S2|x123"
"anybody","S1|W3|x123"
"anyhow","S3|x456"
"anymore","S1|W3|x123"
"anyone","S1|W1|x123"
"anything","S1|W1|x123"
"anytime","S3|x123"
"anyway","S1|W2|x123"
"anywhere","S1|W3|x123"
"apart","S2|W1|x123"
"apartment","S2|W3|x123"
"apathetic","x789"
"apathy","x789"
"ape","x789"
"apologetic","x789"
"apologize","S2|x123"
"apology","S3|x123"
"appal","x789"
"appalled","x789"
"appalling","x789"
"apparatus","x789"
"apparent","W2|x456|AWL"
"apparently","S1|W2|x123"
"appeal","S2|W1|x123"
"appeal","S3|W3|x123"
"appear","S2|W1|x123"
"appearance","W2|x123"
"appendix","x789|AWL"
"appetite","x456"
"appetizing","x789"
"applaud","x789"
"applause","x789"
"apple","S2|W3|x123"
"applicant","x789"
"application","S1|W1|x123"
"applied","x789"
"apply","S1|W1|x123"
"appoint","W3|x456"
"appointment","S2|W2|x123"
"appraisal","x789"
"appreciate","S3|W3|x456|AWL"
"appreciation","x456|AWL"
"apprehension","x789"
"apprehensive","x789"
"apprentice","x789"
"approach","S2|W1|x123|AWL"
"approach","S3|W2|x123|AWL"
"appropriate","S2|W1|x123|AWL"
"appropriately","x456|AWL"
"approval","W3|x456"
"approve","S3|W2|x123"
"approximate","W3|x456|AWL"
"approximately","W3|x456|AWL"
"approximation","x789|AWL"
"April","S2|W2|x123"
"apron","x456"
"apt","x789"
"aquarium","x789"
"arbitrary","x789|AWL"
"arc","x789"
"arch","x456"
"archaeology","x789"
"architect","W3|x456"
"architecture","S3|W3|x456"
"archive","x789"
"area","S1|W1|x123|AWL"
"arena","x789"
"arguable","x789"
"arguably","x789"
"argue","S2|W1|x123"
"argument","S1|W1|x123"
"argumentative","x789"
"arise","W2|x456"
"arithmetic","x789"
"arm","S1|W1|x123"
"armchair","x456"
"armed","S3|W3|x456"
"armour","x789"
"army","S1|W1|x123"
"aroma","x789"
"around","S1|W1|x123"
"arouse","x789"
"arrange","S2|W2|x123"
"arrangement","S2|W2|x123"
"array","x789"
"arrest","S3|W2|x123"
"arrest","S3|W2|x123"
"arrival","W3|x123"
"arrive","S2|W1|x123"
"arrogance","x789"
"arrogant","x789"
"arrow","x456"
"art","S1|W1|x123"
"artefact","x789"
"article","S2|W1|x123"
"articulate","x789"
"articulate","x789"
"artificial","S3|x123"
"artist","S3|W2|x123"
"artistic","x456"
"artwork","x789"
"as","S1|W1|x123"
"as","S1|W1|x123"
"ascend","x789"
"ascertain","x789"
"ash","x789"
"ashamed","S3|x456"
"aside","S3|W3|x456"
"ask","S1|W1|x123"
"asleep","S2|x123"
"aspect","S2|W1|x123|AWL"
"aspiration","x789"
"aspire","x789"
"aspirin","x456"
"assassin","x789"
"assassinate","x789"
"assassination","x789"
"assault","x456"
"assault","x456"
"assemble","x789|AWL"
"assembly","x789|AWL"
"assert","x789"
"assertion","x789"
"assertive","x789"
"assess","x456|AWL"
"assessment","x456|AWL"
"asset","x789"
"assign","x789|AWL"
"assignment","S2|x123|AWL"
"assist","W3|x456|AWL"
"assistance","W2|x456|AWL"
"assistant","W3|x456"
"assistant","W3|x456"
"associate","S3|W2|x456"
"associate","x456"
"association","W3|x456"
"assume","S2|W1|x123|AWL"
"assumption","W2|x456|AWL"
"assurance","x456|AWL"
"assure","W3|x456|AWL"
"assured","x789"
"asthma","x789"
"astonish","x789"
"astonished","x789"
"astonishing","x789"
"astonishment","x789"
"astronaut","x789"
"astronomy","x789"
"astute","x789"
"asylum","x789"
"at","S1|W1|x123"
"athlete","x456"
"athletic","x456"
"athletics","x789"
"atlas","x789"
"atmosphere","S3|W2|x123"
"atom","x456"
"atomic","x456"
"attach","S2|W2|x123|AWL"
"attachment","x456|AWL"
"attack","S2|W2|x123"
"attack","S3|W2|x123"
"attacker","x789"
"attain","x789|AWL"
"attainment","x789|AWL"
"attempt","S2|W1|x123"
"attempt","S2|W2|x123"
"attend","S2|W2|x123"
"attendance","x789"
"attention","S2|W1|x123"
"attic","x789"
"attitude","S2|W1|x123|AWL"
"attorney","S2|W3|x123"
"attract","S2|W2|x123"
"attraction","W3|x456"
"attractive","S2|W2|x123"
"attribute","x789|AWL"
"attribute","x789|AWL"
"atypical","x789"
"auction","x789"
"audience","S2|W2|x123"
"auditorium","x789"
"augment","x789"
"August","S2|W2|x123"
"aunt","S3|W3|x123"
"aura","x789"
"austere","x789"
"authentic","x456"
"author","W2|x123|AWL"
"authoritarian","x789"
"authoritative","x789|AWL"
"authority","W1|x123|AWL"
"authorization","x789"
"authorize","x789"
"autobiography","x456"
"automatic","S3|x456|AWL"
"automatically","S3|W3|x456|AWL"
"automobile","x789"
"autonomous","x789"
"autonomy","x789"
"autumn","W3|x123"
"availability","x456|AWL"
"available","S1|W1|x123|AWL"
"avalanche","x789"
"avenue","x456"
"average","S2|W2|x123"
"average","S2|W2|x123"
"average","x456"
"avert","x789"
"avoid","S2|W1|x123"
"await","x789"
"awake","S2|x123"
"awaken","x789"
"award","S3|W2|x123"
"award","W3|x456"
"aware","S1|W1|x123|AWL"
"awareness","W3|x456|AWL"
"away","S1|W1|x123"
"awe","x789"
"awesome","x456"
"awful","S1|x123"
"awkward","S3|x456"
"axe","x456"
"axis","x789"
"baby","S1|W1|x123"
"bachelor","x789"
"back","S1|W1|x123"
"back","S1|W1|x123"
"back","S2|W3|x123"
"back","S2|W3|x123"
"backbone","x789"
"backfire","x789"
"background","S2|W2|x123"
"backing","x789"
"backpack","x456"
"backslash","x789"
"backup","x789"
"backward","x456"
"backwards","S3|x123"
"bacon","S3|x456"
"bacteria","x789"
"bad","S1|W1|x123"
"badge","x456"
"badly","S3|W3|x123"
"bad-tempered","x456"
"baffle","x789"
"bag","S1|W2|x123"
"baggage","x456"
"bail","x789"
"bait","x789"
"bake","S3|x123"
"baker","x456"
"bakery","x456"
"balance","S2|W2|x123"
"balance","S3|x123"
"balanced","x456"
"balcony","x456"
"bald","x456"
"ball","S1|W2|x123"
"ballad","x789"
"ballerina","x789"
"ballet","x456"
"balloon","x456"
"ballot","x789"
"ban","W3|x456"
"ban","x456"
"banal","x789"
"banana","S2|x123"
"band","S2|W2|x123"
"bandage","x456"
"bang","S3|x456"
"bang","S3|x456"
"banish","x789"
"bank","S1|W1|x123"
"banker","x456"
"banking","x456"
"bankrupt","x456"
"bankruptcy","x456"
"banner","x456"
"banquet","x789"
"baptism","x789"
"baptize","x789"
"bar","S1|W1|x123"
"bar","x789"
"barbaric","x789"
"barbecue","S3|x123"
"bar code","x789"
"bare","x456"
"barely","x456"
"bargain","x456"
"bargain","x789"
"bark","x456"
"bark","x456"
"barrage","x789"
"barrel","x456"
"barren","x789"
"barricade","x789"
"barrier","W3|x456"
"base","S1|W1|x123"
"base","S2|W2|x123"
"baseball","S3|W2|x123"
"basement","S2|x123"
"basic","S2|W1|x123"
"basically","S1|x123"
"basics","x789"
"basin","x456"
"basis","S2|W1|x123"
"basket","S3|x123"
"basketball","S3|x123"
"bat","S3|x123"
"batch","x456"
"bath","S2|W3|x123"
"bathe","x789"
"bathroom","S2|W3|x123"
"bathtub","x456"
"battery","S2|x123"
"battle","W2|x123"
"battle","x789"
"battlefield","x789"
"bay","x456"
"bazaar","x789"
"be","S1|W1|x123"
"be","S1|W1|x123"
"beach","S2|W2|x123"
"beacon","x789"
"bead","x789"
"beak","x456"
"beam","x456"
"beam","x789"
"bean","S2|x123"
"bear","S2|W2|x123"
"bear","x456"
"beard","S3|x123"
"beast","x789"
"beat","S2|W2|x123"
"beat","S3|x456"
"beautiful","S1|W2|x123"
"beauty","S3|W2|x123"
"because","S1|W1|x123"
"because","S1|W1|x123"
"beckon","x789"
"become","S1|W1|x123"
"bed","S1|W1|x123"
"bedroom","S1|W2|x123"
"bee","x456"
"beef","S3|x123"
"beep","x456"
"beer","S2|W3|x123"
"before","S1|W1|x123"
"before","S1|W1|x123"
"before","S1|W1|x123"
"beforehand","x789"
"beg","x456"
"beggar","x789"
"begin","S1|W1|x123"
"beginner","W3|x123"
"beginning","S1|W2|x123"
"behalf","S3|W3|x456|AWL"
"behave","S3|W3|x123"
"behaviour","S2|W1|x123"
"behind","S1|W1|x123"
"being","W3|x456"
"belief","S3|W2|x123"
"believe","S1|W1|x123"
"believer","x789"
"bell","S2|W3|x123"
"belly","x456"
"belong","S2|W2|x123"
